id,tag_id,body,answer_count
1,1,今までの経歴を交えて自己紹介をお願いします,0
2,1,長所を教えてください,0
3,1,短所を教えてください,0
4,1,これまでの部活動について教えてください,0
5,1,趣味や休日の過ごし方を教えてください,0
6,1,親しい友人や家族からどのような人だと言われますか,0
7,1,大学（学部）を選んだ理由を教えてください,0
8,1,学生時代に頑張ったことを教えてください,0
9,1,卒論の内容を教えてください,0
10,1,企業を選ぶ中で大切にしているポイントを教えてください,0
11,1,志望動機を教えてください,0
12,1,5年後、10年後のビジョンを教えてください,0
13,1,入社後、どのような仕事をしていきたいですか,0
14,1,他にどのような会社を受けていますか,0
15,1,逆に質問したい内容はありますか,0
16,3,前職を志望した理由を教えてください,0
17,3,前職の会社以外に内定をいただいた企業はありますか,0
18,3,前職の就職活動での軸を教えてください,0
19,3,前職を退職した理由を教えてください,0
20,3,前職を退職したネガティブな理由があれば教えてください,0
21,3,前職の業務内容を教えてください,0
22,3,前職でのトラブル（失敗談）を教えてください,0
23,3,前職での周りからの評価を教えてください,0
24,3,前職で大変だった経験を教えてください,0
25,3,前職で頑張った経験を教えてください,0
26,3,マネジメント経験はありますか,0
27,11,エンジニアになりたい理由を教えてください,0
28,11,エンジニアを目指すきっかけを教えてください,0
29,11,どのようなエンジニアになりたいですか,0
30,11,今後どのようなサービスを作っていきたいですか,0
31,11,（スクールに通っている場合）スクールを選んだ理由を教えてください,0
32,11,（スクールに通っている場合）スクールで学んだ内容を教えてください,0
33,11,（スクールに通っている場合）スクールで学習した中で得意だったことを教えてください,0
34,11,（スクールに通っている場合）スクールで学習した中で苦手だったことを教えてください,0
35,11,プログラミングを学んでみてどうでしたか,0
36,11,どのような環境で勉強していますか,0
37,11,得意な言語を教えてください,0
38,11,最近興味のある分野、言語、フレームワークなどはありますか,0
39,11,今後、深めていきたい技術分野があれば教えてください,0
40,11,現在学習している書籍があれば、名前を教えてください,0
41,11,Linuxコマンドは使えますか,0
42,11,SQLは書けますか,0
43,11,AWSは使ったことがありますか,0
44,11,フロント、サーバー、インフラで得意な分野はどれですか,0
45,11,フロント、サーバー、インフラで苦手な分野はどれですか,0
46,11,勉強をしていて解決が困難だった時には、どのように解決しましたか,0
47,11,ポートフォリオについて説明してください,0
48,11,ポートフォリオを作成する上で大変だったところはなんですか,0
49,11,ポートフォリオのデプロイはどのようにされていますか,0
50,11,なぜこのポートフォリオを作ろうと思ったんですか,0
51,11,ポートフォリオのテストはどのようにされていますか,0
52,11,ポートフォリオでSQLは使っていますか,0
53,11,チーム開発の経験はありますか,0
54,11,チーム開発を経験して良かったことを教えてください,0
55,11,チーム開発を経験して大変だったことを教えてください,0
56,11,セキュリティについては勉強していますか,0
57,11,資格を取ることに興味はありますか,0
